time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
1.45,35.3957,-1.55328,6.40553,2,-0.0731152,0.0812749,0.994006
1.46,35.601,-1.57225,6.42379,2,-0.0727863,0.0845821,0.993755
1.47,35.806,-1.59109,6.44197,2,-0.0724609,0.0878554,0.993494
1.48,36.0104,-1.60982,6.46006,2,-0.0721392,0.0910948,0.993226
1.49,36.2144,-1.62843,6.47806,2,-0.0718211,0.0943007,0.99295
1.5,36.4179,-1.64691,6.49597,2,-0.0715067,0.0974732,0.992666
1.51,36.621,-1.66527,6.51379,2,-0.071196,0.100613,0.992375
1.52,36.8236,-1.68349,6.53153,2,-0.0708891,0.103719,0.992077
1.53,37.0257,-1.70159,6.54917,2,-0.0705859,0.106793,0.991773
1.54,37.2274,-1.71955,6.56673,2,-0.0702866,0.109834,0.991462
1.55,37.4286,-1.73737,6.58419,2,-0.069991,0.112844,0.991145
1.56,37.6294,-1.75506,6.60157,2,-0.0696993,0.115821,0.990822
1.57,37.8297,-1.7726,6.61885,2,-0.0694115,0.118766,0.990493
1.58,38.0296,-1.78999,6.63605,2,-0.0691276,0.12168,0.990159
1.59,38.229,-1.80724,6.65315,2,-0.0688476,0.124562,0.98982
1.6,38.428,-1.82435,6.67016,2,-0.0685715,0.127414,0.989476
1.61,38.6265,-1.8413,6.68708,2,-0.0682993,0.130234,0.989128
1.62,38.8247,-1.85809,6.70391,2,-0.0680311,0.133024,0.988775
1.63,39.0223,-1.87474,6.72064,2,-0.0677669,0.135783,0.988418
1.64,39.2195,-1.89122,6.73728,2,-0.0675066,0.138511,0.988057
1.65,39.4163,-1.90754,6.75383,2,-0.0672503,0.14121,0.987693
1.66,39.6127,-1.9237,6.77029,2,-0.066998,0.143879,0.987325
1.67,39.8086,-1.9397,6.78665,2,-0.0667497,0.146517,0.986953
1.68,40.0041,-1.95553,6.80291,2,-0.0665054,0.149127,0.986579
1.69,40.1992,-1.9712,6.81908,2,-0.0662651,0.151707,0.986202
1.7,40.3939,-1.98669,6.83516,2,-0.0660288,0.154258,0.985822
1.71,40.5881,-2.00201,6.85114,2,-0.0657965,0.15678,0.985439
1.72,40.7819,-2.01716,6.86702,2,-0.0655682,0.159273,0.985055
1.73,40.9753,-2.03213,6.88281,2,-0.0653438,0.161738,0.984668
1.74,41.1682,-2.04692,6.89849,2,-0.0651235,0.164175,0.984279
1.75,41.3608,-2.06154,6.91409,2,-0.0649071,0.166583,0.983889
1.76,41.5529,-2.07597,6.92958,2,-0.0646947,0.168963,0.983497
1.77,41.7446,-2.09022,6.94497,2,-0.0644863,0.171316,0.983103
1.78,41.9359,-2.10428,6.96027,2,-0.0642818,0.17364,0.982709
1.79,42.1268,-2.11816,6.97546,2,-0.0640813,0.175938,0.982313
1.8,42.3173,-2.13185,6.99056,2,-0.0638847,0.178208,0.981917
1.81,42.5073,-2.14535,7.00555,2,-0.063692,0.180451,0.98152
1.82,42.697,-2.15866,7.02044,2,-0.0635032,0.182667,0.981122
1.83,42.8863,-2.17178,7.03523,2,-0.0633183,0.184857,0.980724
1.84,43.0751,-2.1847,7.04992,2,-0.0631373,0.18702,0.980325
1.85,43.2636,-2.19742,7.06451,2,-0.0629601,0.189156,0.979926
1.86,43.4517,-2.20995,7.07899,2,-0.0627867,0.191267,0.979528
1.87,43.6393,-2.22228,7.09337,4,-0.0626172,0.193351,0.979129
1.88,43.8266,-2.23441,7.10765,4,-0.0624514,0.19541,0.978731
1.89,44.0135,-2.24633,7.12182,4,-0.0622895,0.197443,0.978333
1.9,44.1999,-2.25806,7.13589,4,-0.0621312,0.19945,0.977936
1.91,44.386,-2.26957,7.14985,4,-0.0619767,0.201432,0.97754
1.92,44.5717,-2.28089,7.1637,4,-0.0618259,0.203389,0.977144
1.93,44.757,-2.29199,7.17745,4,-0.0616788,0.205321,0.976749
1.94,44.942,-2.30289,7.19109,4,-0.0615353,0.207228,0.976356
1.95,45.1265,-2.31357,7.20463,4,-0.0613954,0.20911,0.975963
1.96,45.3106,-2.32405,7.21805,4,-0.0612592,0.210967,0.975572
1.97,45.4944,-2.33431,7.23137,4,-0.0611265,0.212801,0.975182
1.98,45.6778,-2.34436,7.24458,4,-0.0609973,0.21461,0.974793
1.99,45.8608,-2.35419,7.25768,4,-0.0608716,0.216395,0.974406
2,46.0434,-2.36381,7.27067,4,-0.0607494,0.218156,0.974021
2.01,46.2257,-2.37321,7.28355,4,-0.0606307,0.219893,0.973638
