time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
1.33,20.01,-6.01742,1.65632,4,-0.160118,-0.489884,0.856957
1.34,20.1441,-6.09065,1.63781,4,-0.159591,-0.489056,0.857528
1.35,20.2781,-6.16424,1.61904,4,-0.159065,-0.488235,0.858094
1.36,20.4118,-6.23819,1.60002,4,-0.158538,-0.48742,0.858654
1.37,20.5453,-6.3125,1.58074,4,-0.158012,-0.486612,0.85921
1.38,20.6785,-6.38716,1.56121,4,-0.157486,-0.485809,0.85976
1.39,20.8116,-6.46219,1.54142,4,-0.15696,-0.485013,0.860306
1.4,20.9445,-6.53757,1.52139,4,-0.156434,-0.484222,0.860847
1.41,21.0771,-6.61331,1.5011,4,-0.155907,-0.483437,0.861384
1.42,21.2095,-6.68941,1.48057,4,-0.15538,-0.482657,0.861916
1.43,21.3417,-6.76587,1.45979,4,-0.154853,-0.481882,0.862444
1.44,21.4737,-6.84268,1.43876,4,-0.154325,-0.481112,0.862969
1.45,21.6055,-6.91985,1.41749,4,-0.153797,-0.480347,0.863489
1.46,21.7371,-6.99737,1.39597,4,-0.153269,-0.479587,0.864005
1.47,21.8684,-7.07524,1.37422,4,-0.152739,-0.47883,0.864518
1.48,21.9996,-7.15347,1.35222,4,-0.152209,-0.478078,0.865028
1.49,22.1305,-7.23206,1.32998,4,-0.151678,-0.477331,0.865534
1.5,22.2613,-7.311,1.30751,4,-0.151146,-0.476586,0.866037
1.51,22.3918,-7.39029,1.2848,4,-0.150613,-0.475846,0.866537
1.52,22.5221,-7.46993,1.26185,4,-0.150079,-0.475109,0.867034
1.53,22.6522,-7.54992,1.23867,4,-0.149544,-0.474375,0.867528
1.54,22.7821,-7.63027,1.21526,4,-0.149007,-0.473645,0.868019
1.55,22.9118,-7.71096,1.19161,4,-0.148469,-0.472917,0.868508
1.56,23.0413,-7.79201,1.16773,4,-0.147929,-0.472193,0.868994
1.57,23.1706,-7.8734,1.14363,4,-0.147388,-0.471471,0.869478
1.58,23.2997,-7.95515,1.11929,4,-0.146845,-0.470751,0.86996
1.59,23.4286,-8.03724,1.09473,4,-0.146301,-0.470034,0.870439
1.6,23.5572,-8.11968,1.06995,4,-0.145754,-0.469319,0.870916
1.61,23.6857,-8.20247,1.04494,4,-0.145206,-0.468606,0.871392
1.62,23.814,-8.28561,1.0197,4,-0.144655,-0.467895,0.871866
1.63,23.942,-8.36909,0.994245,4,-0.144103,-0.467185,0.872337
1.64,24.0699,-8.45292,0.968568,4,-0.143548,-0.466477,0.872808
1.65,24.1975,-8.5371,0.94267,4,-0.14299,-0.465771,0.873276
1.66,24.325,-8.62162,0.916554,4,-0.14243,-0.465065,0.873744
1.67,24.4522,-8.70649,0.890221,4,-0.141868,-0.464361,0.874209
1.68,24.5792,-8.7917,0.863671,4,-0.141303,-0.463658,0.874674
1.69,24.7061,-8.87725,0.836906,4,-0.140735,-0.462956,0.875137
1.7,24.8327,-8.96315,0.809927,4,-0.140164,-0.462254,0.8756
1.71,24.9592,-9.04939,0.782735,4,-0.13959,-0.461553,0.876061
1.72,25.0854,-9.13597,0.755332,4,-0.139014,-0.460853,0.876522
1.73,25.2115,-9.22289,0.727718,4,-0.138434,-0.460152,0.876981
